country,region,year,planeDeaths
Portugal,Europe,1974,0
Romania,Europe,1974,0
Russia,Europe,1974,0
Saudi Arabia,Asia,1974,0
Senegal,Africa,1974,0
Sierra Leone,Africa,1974,0
Somalia,Africa,1974,0
South Africa,Africa,1974,0
South Korea,Asia,1974,0
Spain,Europe,1974,0
Sri Lanka,Asia,1974,191
Sudan,Africa,1974,0
Suriname,Americas,1974,0
Sweden,Europe,1974,0
Switzerland,Europe,1974,0
Tajikistan,Asia,1974,0
Tanzania,Africa,1974,0
Thailand,Asia,1974,0
Tunisia,Africa,1974,0
Turkey,Europe,1974,0
Ukraine,Europe,1974,0
United Arab Emirates,Asia,1974,0
United Kingdom,Europe,1974,0
United States,Americas,1974,0
Uruguay,Americas,1974,0
Uzbekistan,Asia,1974,0
Venezuela,Americas,1974,0
Vietnam,Asia,1974,0
Yemen,Asia,1974,0
Zambia,Africa,1974,0
Afghanistan,Asia,1975,0
Algeria,Africa,1975,0
Angola,Africa,1975,0
Argentina,Americas,1975,0
Armenia,Europe,1975,0
Australia,Asia,1975,0
Austria,Europe,1975,0
Azerbaijan,Europe,1975,0
Bahrain,Asia,1975,0
Belgium,Europe,1975,0
Benin,Africa,1975,0
Bolivia,Americas,1975,0
Bosnia and Herzegovina,Europe,1975,0
Brazil,Americas,1975,0
Bulgaria,Europe,1975,0
Cambodia,Asia,1975,0
Cameroon,Africa,1975,0
Canada,Americas,1975,0
Cape Verde,Africa,1975,0
Central African Republic,Africa,1975,0
Chile,Americas,1975,0
China,Asia,1975,0
Colombia,Americas,1975,0
Comoros,Africa,1975,0
"Congo, Dem. Rep.",Africa,1975,0
"Congo, Rep.",Africa,1975,0
Costa Rica,Americas,1975,0
Cote d'Ivoire,Africa,1975,0
Croatia,Europe,1975,0
Cuba,Americas,1975,0
Denmark,Europe,1975,0
Dominica,Americas,1975,0
Dominican Republic,Americas,1975,0
Ecuador,Americas,1975,0
Egypt,Africa,1975,0
El Salvador,Americas,1975,0
Equatorial Guinea,Africa,1975,0
Ethiopia,Africa,1975,0
Fiji,Asia,1975,0
France,Europe,1975,0
Gabon,Africa,1975,0
Georgia,Europe,1975,0
Germany,Europe,1975,0
Greece,Europe,1975,0
Guatemala,Americas,1975,0
Haiti,Americas,1975,0
Honduras,Americas,1975,0
Hungary,Europe,1975,0
India,Asia,1975,0
Indonesia,Asia,1975,0
Iran,Asia,1975,0
Iraq,Asia,1975,0
Ireland,Europe,1975,0
Israel,Asia,1975,0
Italy,Europe,1975,0
Japan,Asia,1975,0
Jordan,Asia,1975,0
Kazakhstan,Asia,1975,0
Kenya,Africa,1975,0
Kyrgyz Republic,Asia,1975,0
Lao,Asia,1975,0
Libya,Africa,1975,0
Luxembourg,Europe,1975,0
"Macedonia, FYR",Europe,1975,0
Madagascar,Africa,1975,0
Malaysia,Asia,1975,0
Maldives,Asia,1975,0
Mali,Africa,1975,0
Mauritania,Africa,1975,0
Mauritius,Africa,1975,0
Mexico,Americas,1975,0
